time,values
2470,-0.5016018485
2471,-0.5020613775
2472,-0.5025209064
2473,-0.5029804353
2474,-0.5034486346
2475,-0.5039081636
2476,-0.5043676925
2477,-0.5048358918
2478,-0.50527808
2479,-0.50576362
2480,-0.506223149
2481,-0.5066913483
2482,-0.5071595476
2483,-0.5076190765
2484,-0.5080872758
2485,-0.5085554751
2486,-0.5090150041
2487,-0.5094832034
2488,-0.5099514026
2489,-0.5104109316
2490,-0.5108791309
2491,-0.5113473302
2492,-0.5118068591
2493,-0.5122750584
2494,-0.5127432577
2495,-0.513211457
2496,-0.5136796563
2497,-0.5141478556
2498,-0.5146073845
2499,-0.5150755838
2500,-0.5155437831
2501,-0.5160119824
2502,-0.5164715114
2503,-0.5169397107
2504,-0.51740791
2505,-0.5178674389
2506,-0.5183356382
2507,-0.5187951671
2508,-0.5192633664
2509,-0.5197228954
2510,-0.5201910947
2511,-0.5206506236
2512,-0.5211188229
2513,-0.5215783519
2514,-0.5220465511
2515,-0.5225060801
2516,-0.5229742794
2517,-0.5234424787
2518,-0.5239020076
2519,-0.5243702069
2520,-0.5248384062
2521,-0.5252979352
2522,-0.5257661345
2523,-0.5262343337
2524,-0.5266938627
2525,-0.527162062
2526,-0.5276302613
2527,-0.5280897902
2528,-0.5285579895
2529,-0.5290175185
2530,-0.5294857178
2531,-0.5299539171
2532,-0.530413446
2533,-0.5308816453
2534,-0.5313498446
2535,-0.5318093735
2536,-0.5322775728
2537,-0.5327457721
2538,-0.5332053011
2539,-0.5336735004
2540,-0.5341416997
2541,-0.5346012286
2542,-0.5350694279
2543,-0.5355376272
2544,-0.5359971561
2545,-0.5364653554
2546,-0.5369335547
2547,-0.5373930837
2548,-0.537861283
2549,-0.5383294822
2550,-0.5387890112
2551,-0.5392572105
2552,-0.5397254098
2553,-0.5401936091
2554,-0.540653138
2555,-0.5411213373
2556,-0.5415895366
2557,-0.5420577359
2558,-0.5425172648
2559,-0.5429854641
2560,-0.5434536634
2561,-0.5439218627
2562,-0.5443813917
2563,-0.544849591
2564,-0.5453177903
2565,-0.5457859896
2566,-0.5462455185
2567,-0.5467137178
2568,-0.5471819171
2569,-0.5476501164
2570,-0.5481096453
2571,-0.5485778446
2572,-0.5490460439
2573,-0.5495055729
2574,-0.5499737722
2575,-0.5504419715
2576,-0.5509015004
2577,-0.5513696997
2578,-0.551837899
2579,-0.5522974279
2580,-0.5527656272
2581,-0.5532338265
2582,-0.5536933555
2583,-0.5541615548
2584,-0.5546210837
2585,-0.555089283
2586,-0.5555574823
2587,-0.5560170112
2588,-0.5564852105
2589,-0.5569447395
2590,-0.5574129388
2591,-0.5578811381
2592,-0.558340667
2593,-0.5588088663
2594,-0.5592683952
2595,-0.5597365945
2596,-0.5601961235
2597,-0.5606643228
2598,-0.5611325221
2599,-0.561592051
2600,-0.5620602503
2601,-0.5625197793
2602,-0.5629879785
2603,-0.5634475075
2604,-0.5639157068
2605,-0.5643839061
2606,-0.564843435
2607,-0.5653116343
2608,-0.5657711633
2609,-0.5662393626
2610,-0.5667075619
2611,-0.5671670908
2612,-0.5676352901
2613,-0.568094819
2614,-0.5685630183
2615,-0.5690312176
2616,-0.5694907466
2617,-0.5699589459
2618,-0.5704271452
2619,-0.5708866741
2620,-0.5713548734
2621,-0.5718230727
